"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US08049","Grand County, Colorado","308200","35104"
"0500000US08051","Gunnison County, Colorado","367300","21901"
"0500000US08053","Hinsdale County, Colorado","350000","29826"
"0500000US08055","Huerfano County, Colorado","161600","15028"
"0500000US08057","Jackson County, Colorado","196700","40858"
"0500000US08059","Jefferson County, Colorado","397700","2319"
"0500000US08061","Kiowa County, Colorado","86500","15729"
"0500000US08063","Kit Carson County, Colorado","122400","23023"
"0500000US08065","Lake County, Colorado","232100","22715"
"0500000US08067","La Plata County, Colorado","395600","10953"
"0500000US08069","Larimer County, Colorado","363800","3285"
"0500000US08071","Las Animas County, Colorado","151100","9520"
"0500000US08073","Lincoln County, Colorado","147100","21864"
"0500000US08075","Logan County, Colorado","157900","9503"
"0500000US08077","Mesa County, Colorado","227000","4298"
"0500000US08079","Mineral County, Colorado","308600","29343"
"0500000US08081","Moffat County, Colorado","182300","10982"
"0500000US08083","Montezuma County, Colorado","222800","14449"
"0500000US08085","Montrose County, Colorado","224400","6894"
"0500000US08087","Morgan County, Colorado","201200","10911"
"0500000US08089","Otero County, Colorado","94900","4724"
"0500000US08091","Ouray County, Colorado","449000","29667"
"0500000US08093","Park County, Colorado","327200","12216"
"0500000US08095","Phillips County, Colorado","158500","16424"
"0500000US08097","Pitkin County, Colorado","615900","131466"
"0500000US08099","Prowers County, Colorado","106100","10103"
"0500000US08101","Pueblo County, Colorado","164600","2443"
"0500000US08103","Rio Blanco County, Colorado","197100","23561"
"0500000US08105","Rio Grande County, Colorado","172000","31962"
"0500000US08107","Routt County, Colorado","535300","35928"
"0500000US08109","Saguache County, Colorado","152700","12996"
"0500000US08111","San Juan County, Colorado","322400","59637"
"0500000US08113","San Miguel County, Colorado","479300","32712"
"0500000US08115","Sedgwick County, Colorado","97100","11188"
"0500000US08117","Summit County, Colorado","579600","30546"
"0500000US08119","Teller County, Colorado","292700","16432"
"0500000US08121","Washington County, Colorado","151300","11500"
"0500000US08123","Weld County, Colorado","299000","3597"
"0500000US08125","Yuma County, Colorado","191800","24731"
"0500000US09001","Fairfield County, Connecticut","428500","3954"
"0500000US09003","Hartford County, Connecticut","240600","1505"
"0500000US09005","Litchfield County, Connecticut","251000","3599"
"0500000US09007","Middlesex County, Connecticut","286800","3810"
"0500000US09009","New Haven County, Connecticut","248600","2085"
"0500000US09011","New London County, Connecticut","241700","2904"
"0500000US09013","Tolland County, Connecticut","253100","4356"
"0500000US09015","Windham County, Connecticut","204400","4085"
"0500000US10001","Kent County, Delaware","220600","3934"
"0500000US10003","New Castle County, Delaware","260800","2598"
"0500000US10005","Sussex County, Delaware","258600","4218"
"0500000US11001","District of Columbia, District of Columbia","601500","6902"
