metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
14860,"Bridgeport-Stamford-Norwalk, CT",943926.0,7650,Metropolitan Statistical Area,Native American,11.0,10.0,1.0,False,Not statistically significant,0.9
14860,"Bridgeport-Stamford-Norwalk, CT",943926.0,7650,Metropolitan Statistical Area,AAPI,499.0,456.0,43.0,False,Not statistically significant,1.4
15764,"Cambridge-Newton-Framingham, MA",2384518.0,20053,Metropolitan Division,Black,374.0,339.0,35.0,True,Statistically significant disparity,1.7
15764,"Cambridge-Newton-Framingham, MA",2384518.0,20053,Metropolitan Division,Latino,1545.0,1418.0,127.0,False,Not statistically significant,1.3
15764,"Cambridge-Newton-Framingham, MA",2384518.0,20053,Metropolitan Division,Native American,20.0,18.0,2.0,False,Not statistically significant,1.0
15764,"Cambridge-Newton-Framingham, MA",2384518.0,20053,Metropolitan Division,AAPI,2742.0,2565.0,177.0,True,Statistically significant disparity,1.8
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859.0,30863,Metropolitan Statistical Area,Black,1247.0,1064.0,183.0,True,Statistically significant disparity,2.0
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859.0,30863,Metropolitan Statistical Area,Latino,4069.0,3613.0,456.0,True,Doesn't meet level of disparity,1.4
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859.0,30863,Metropolitan Statistical Area,Native American,76.0,68.0,8.0,False,Not statistically significant,1.0
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859.0,30863,Metropolitan Statistical Area,AAPI,1598.0,1417.0,181.0,True,Statistically significant disparity,1.5
29460,"Lakeland-Winter Haven, FL",686218.0,4478,Metropolitan Statistical Area,Black,277.0,235.0,42.0,False,Not enough variance in variables,1.7
29460,"Lakeland-Winter Haven, FL",686218.0,4478,Metropolitan Statistical Area,Latino,912.0,780.0,132.0,False,Not enough variance in variables,1.5
29460,"Lakeland-Winter Haven, FL",686218.0,4478,Metropolitan Statistical Area,Native American,11.0,8.0,3.0,False,Not enough variance in variables,1.4
29460,"Lakeland-Winter Haven, FL",686218.0,4478,Metropolitan Statistical Area,AAPI,145.0,131.0,14.0,False,Not enough variance in variables,1.0
45060,"Syracuse, NY",652416.0,3645,Metropolitan Statistical Area,Black,96.0,85.0,11.0,False,Not statistically significant,1.5
45060,"Syracuse, NY",652416.0,3645,Metropolitan Statistical Area,Latino,76.0,71.0,5.0,False,Not statistically significant,0.8
45060,"Syracuse, NY",652416.0,3645,Metropolitan Statistical Area,Native American,16.0,14.0,2.0,False,Not statistically significant,1.9
45060,"Syracuse, NY",652416.0,3645,Metropolitan Statistical Area,AAPI,195.0,180.0,15.0,False,Not statistically significant,1.3
37340,"Palm Bay-Melbourne-Titusville, FL",585507.0,5454,Metropolitan Statistical Area,Black,170.0,140.0,30.0,False,Not enough variance in variables,2.3
37340,"Palm Bay-Melbourne-Titusville, FL",585507.0,5454,Metropolitan Statistical Area,Latino,419.0,368.0,51.0,False,Not enough variance in variables,1.5
37340,"Palm Bay-Melbourne-Titusville, FL",585507.0,5454,Metropolitan Statistical Area,Native American,17.0,14.0,3.0,False,Not enough variance in variables,2.9
37340,"Palm Bay-Melbourne-Titusville, FL",585507.0,5454,Metropolitan Statistical Area,AAPI,191.0,167.0,24.0,False,Not enough variance in variables,1.6
28940,"Knoxville, TN",853337.0,8095,Metropolitan Statistical Area,Black,163.0,143.0,20.0,False,Not statistically significant,1.8
28940,"Knoxville, TN",853337.0,8095,Metropolitan Statistical Area,Latino,185.0,172.0,13.0,False,Not statistically significant,1.5
28940,"Knoxville, TN",853337.0,8095,Metropolitan Statistical Area,Native American,17.0,17.0,0.0,False,Not statistically significant,0.0
28940,"Knoxville, TN",853337.0,8095,Metropolitan Statistical Area,AAPI,212.0,192.0,20.0,False,Not statistically significant,1.7
42940,"Sevierville, TN",97068.0,566,Micropolitan Statistical Area,Black,1.0,0.0,1.0,False,No results,
42940,"Sevierville, TN",97068.0,566,Micropolitan Statistical Area,Latino,12.0,5.0,7.0,False,No results,
42940,"Sevierville, TN",97068.0,566,Micropolitan Statistical Area,Native American,3.0,3.0,0.0,False,No results,
42940,"Sevierville, TN",97068.0,566,Micropolitan Statistical Area,AAPI,14.0,12.0,2.0,False,No results,
34100,"Morristown, TN",140912.0,730,Metropolitan Statistical Area,Black,4.0,4.0,0.0,False,No results,
34100,"Morristown, TN",140912.0,730,Metropolitan Statistical Area,Latino,29.0,25.0,4.0,False,No results,
34100,"Morristown, TN",140912.0,730,Metropolitan Statistical Area,Native American,3.0,2.0,1.0,False,No results,
34100,"Morristown, TN",140912.0,730,Metropolitan Statistical Area,AAPI,9.0,7.0,2.0,False,No results,
28700,"Kingsport-Bristol, TN-VA",306546.0,1899,Metropolitan Statistical Area,Black,17.0,13.0,4.0,False,No results,
